10.	-5.	0. 	-140.0	308.0	196.0
20.	-5.	0. 	-49.	267.	30.0
30.	-5.	0. 	-186.	150.	-14.0
40.	-5.	0.	-194.	127.	-23.0
50.	-5.	0. 	-202.	104.	-32.
60.	-5.	0. 	-91.	210.	-5.
70.	-5.	0. 	-162.	165.	4.
80.	-5.	0. 	2.	235.	7.
90.	-5.	0. 	-80.	229.	8.
100.	-5.	0. 	-63.	235.	89.
110.	-5.	0.	-54.	247.	145.
120.	-5.	0.	10.	269.	265.
130.	-5.	0.	305.	-91.	417.
10.	5.	0.	-70.	395.	-319.
20.	5.	0.	-71.	304.	-57.
30.	5.	0.	-92.	254.	-30.
40.	5.	0.	-121.	209.5	-20.5
50.	5.	0.	-149.	165.	-9.
60.	5.	0.	-140.	180.	-14.
70.	5.	0.	-146.	138.	3.
80.	5.	0.	-146.	143.	37.
90.	5.	0.	-136.	175.	72.
100.	5.	0.	-135.	179.	71.
110.	5.	0.	-132.	126.	125.
120.	5.	0.	-108.	102.	274.
130.	5.	0.	-72.	153.	418.
10.	-5.	1. 	-140.0	308.0	196.0
20.	-5.	1. 	-49.	267.	30.0
30.	-5.	1. 	-186.	150.	-14.0
40.	-5.	1.	-194.	127.	-23.0
50.	-5.	1. 	-202.	104.	-32.
60.	-5.	1. 	-91.	210.	-5.
70.	-5.	1. 	-162.	165.	4.
80.	-5.	1. 	2.	235.	7.
90.	-5.	1. 	-80.	229.	8.
100.	-5.	1. 	-63.	235.	89.
110.	-5.	1.	-54.	247.	145.
120.	-5.	1.	10.	269.	265.
130.	-5.	1.	305.	-91.	417.
10.	5.	1.	-70.	395.	-319.
20.	5.	1.	-71.	304.	-57.
30.	5.	1.	-92.	254.	-30.
40.	5.	1.	-121.	209.5	-20.5
50.	5.	1.	-149.	165.	-9.
60.	5.	1.	-140.	180.	-14.
70.	5.	1.	-146.	138.	3.
80.	5.	1.	-146.	143.	37.
90.	5.	1.	-136.	175.	72.
100.	5.	1.	-135.	179.	71.
110.	5.	1.	-132.	126.	125.
120.	5.	1.	-108.	102.	274.
130.	5.	1.	-72.	153.	418.
